key,tweets,gt_type,pred_type
1,انسان عبارة عن دواء للإكتئاب,1,1
2,نحبك يا فنان وااااااحسااااااااان,1,1
3,stream zuin thank you ilyas,1,1
4,وحق الرب الى دوا د الاكتئاب الأسطورة,1,1
5,اسطورة بكل ما تحمل الكلمة من معنى,1,1
6,أسطورة لن تكرر,1,1
7,ahsan live,1,1
8,نحبك يا أسطورة,1,1
9,بقيت كنترفج البارح تانعست دابا أنكمل اللايف هههه أحسن أسطورة,1,1
10,أقسم بالله ايلا 8 ساعات من الضحك المتواصل أسطورة,1,1
11,اسطورة لن تتكرر king,1,1
12,نحبك يا أسطورة,1,1
13,نحبك ايها الفنان العظيم,1,1
14,nadi,1,0
15,هنيئا لشمال افريقيا بأسطورة فالبثوث,1,1
16,نحبك يا فنااااااان,1,1
17,ملك ستريم,1,1
18,ya salaam 3la stream,1,1
19,نحبك يا رايس,1,1
20,نحبك يافنان,1,1
21,الأسطووورة,1,1
22,وحق الرب الى دوا د الاكتئاب الأسطورة,1,1
23,الاسطورة,1,1
24,نحبك يا حساااااااااااان,1,1
25,إحنا معك يا رايس,1,1
26,حلاوة,1,1
27,ريجال,1,1
28,إلياس المالكي أحسن ستريمر فتاريخ المغرب العربي نحبك يا ريسelias al maliki est le meilleur streamer de 39 histoire du maghreb on 39 aime patron elias el malki is the best streamer in the history of the maghreb we love you chief,1,1
29,الأسطورة,1,1
30,أسطورة,1,1
31,أحسن لايف,1,1
32,الأسطورة,1,1
33,رجاااااال,1,1
34,العالمية,1,1
35,wlh ila king,1,1
36,احسن ستريمر عرفتو,1,1
37,الأسطورة,1,1
38,wa3er,1,0
39,l3alamia,1,1
40,هرمووووووون السعاااادة,1,1
41,ostoura ya rayees,1,1
42,نحبك يا فنان,1,1
43,افضل ستريمر,1,1
44,katfwej 3lina fhad lghorba lah yefrhek wa hassan wa hassan,1,1
45,الأ سطورة,1,0
46,اسطورة يوتيوب الياس,1,1
47,رحااااال,1,1
48,ostoraaa,1,0
49,تحية مغربية لشعب تونس الشقيق,1,1
50,أسطورة بمعنى الكلمة,1,1
51,احلى بث,1,1
52,leyendaaa,1,1
53,legend dyal streaming,1,1
54,احسن ستريم في العالم,1,1
55,الاسطورة محطم الارقام,1,1
56,تحياتي من موريتاني ا,1,1
57,hrbaan phénomène,1,1
58,ستبقى الاسطورة,1,1
59,lmondialité,1,0
60,يفرقنا الحدود ويجمعنا إلياس,1,1
61,احسن الياس فالعالم واحسن ستريمر كيضحكنا او يفوج علينا,1,1
62,اسطورة العالم,1,1
63,ilyass,1,1
64,الاسطوورة,1,1
