tweets,type,class_name
ماهي آرائكم متتبعي الكرام,0,0
عبقرية المدرب وروعة اللاعبين,1,0
أمة عربية واحدة خالدة,1,0
عاد إليكم من جديد وأخيرا درت جيم لهاد الصفحة,0,1
الله يخلف عليك سيدي محمد,1,1
أشارك في تمام الساعة في نشرة أخبار الجزيرة لمناقشة التوتر السعودي المغربي وسحب الرباط سفيرها من الرياض,0,0
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,-1,1
أمين عام حزب سياسي كينشر تدوينة وكيدير ليها جيم,0,1
أجي بعدا فين غبرات واحد الحمى القلاعية شفت ما بقات هضرة عليها,0,1
إغلاق ثلاث بيوت لأعضاء الجماعة في القنيطرة والدار البيضاء وأكادير,0,0
الشعب الياباني الشقيق بعد الإسلام,0,0
أنفلوانزا الخنازير مسؤول عليها وزير الصحة والحكومة والدولة ياك والحمى القلاعية واش نقدرو نقولو أن هو اللي مسؤول عليها,0,1
الدولة تعلن أن الوضع تحت السيطرة,0,0
واحد السؤال وما تديروهاش مني قلة الصواب واش بنكيران هو اللي زاد في ضريبة السيارات,0,1
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,1,1
الجالية الإماراتية المقيمة في المغرب قلوبنا معكم و لن نترككم ويمكنكم في الهزائم أن تراهنوا علينا وكفى,1,0
متى تعلن الدولة انتصارها على المجتمع من خلال حربها المفتوحة على أبنائه والذين من بينهم اعتقلته غربته بعيدا عن أهله جردته من ثيابه بطريقة مهينة أدانته ب سجنا نافذة واليوم تخفي عنه جلطة دماغية تهدده بالشلل,-1,0
الدولة اللي تعاقدات مع رحال باش توكل السجناء واش ما تقدرش تتعاقد مع الشيخ زايد باش تداويهم,0,1
أنفلوانزا الخنازير تقتل سيدة حاملا في المغرب وزارة الصحة قالت قبل الوفاة إن الوضعية الوبائية للإنفلونزا لا تدعو إلى القلق,0,0
من يكون هذا السمسار الذي أقنع أفضل لاعبي منتخب المغرب بالهرب من دوريات أوروبا للعب في دوريات الخليج,0,0
الله على أخلاقك يا فخر العرب,1,0
انقلاب فاشل في فينزويلا رئيس البرلمان ينصب نفسه رئيسا الجيش يرفض الانقلاب أمريكا وكولومبيا والبرازيل تعترف بالمنقلب رئيسا والاتحاد الأوروبي يدعو للتهدئة ولانتخابات حرة هذا الغرب الامبريالي وضيع جدا,-1,0
بنكيران كان من دعاة الملكية البرلمانية بعد ان منحه الملك تقاعدا استثنائيا أصبح من دعاة الملكية التنفيذية,0,0
بمناسبة هل تغير المغرب إلى الأحسن أم الأسوإ في رأيي أنه جاب دورة على راسو ورجع لبلاصتو ديال,0,1
ليرتفع منك المعنى لا الصوت فإن مايجعل الزهر ينبت ويتفتح هو المطر لا الرعد,0,0
جاء إضراب الحوانت في الرباط وسلا وجاب معاه الشتاء يا سلام الرواح غادي يمشي,0,1
الله يخلي لنيا العونيات,1,1
الحكومة تتوقف عن تطبيق تعديلات مدونة الضرائب خوفا من توسع احتجاجات التجار,0,0
اول مداخل هذا التغيير الذي سيدعمه كثيرةن هو الصراحة والوضوح للأسف إنها تغرق في الغموض,-1,0
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,1,1
مبروك للوداد والوداديين ديما راجا,1,1
بلاغ مشترك من مجموعات ألتراس الرجاء والوداد بمقاطعة مباراة الديربي احتجاجا على إغلاق مركب محمد الخامس,-1,0
أشياء كثيرة تمنيت حصولها في ولم تتحقق أبرزها أن تستعيد دولتنا عقلها وأن توقف حربها ضد المجتمع وممثليه صحافة سياسيين مناضلين وأن يؤسس عبد الإله بنكيران تجربة سياسية جديدة,0,0
جمهور الكرة رجل السنة في المغرب,1,0
جميل جدا السي يونس,1,1
مسيرات تعم فرنسا و ارتقى فيها شهداء والحكومة تعطل عددا من المؤسسات بالبلاد,0,0
الإسلام الذي حرصت مدرسة الحركة الإسلامية على تعليمه للملتحقين بها قسم التراث إلى شقين وحي و تاريخ فالوحي سرمدي والتاريخ تجربة خاصة لمجتمع معين ولفرد من هذا المجتمع لا تلزم أحدا واعتبرت مدرسة الحركة,0,0
شدوه في الحبس يتربى تعلم فنون الحرب وقتل واحد في فيديو كليب شافو نص مليون إنسان في ساعات واربي هانت تشوف زهرنا كيداير,0,1
التعليق ديال العثماني زايدو واحد الشاب ماشي أصلي ولكن جا معاه,0,1
قراران لمجلس الشيوخ الأمريكي هذه الليلة إدانة ولي العهد محمد بن سلمان واعتباره مسؤولا عن جريمة وقف الدعم الامريكي للسعودية في حرب اليمن,-1,0
من اجمل ما سمعته في الملاعب العربية والعالمية نبض الشعوب تحية لأهلنا في المغرب,1,0
هادي آخر كلمة عندي نكتبها من قلبي والدمعة في عيني,-1,0
هل وصفت أحزاب الأغلبية الحكومية الفرنسية المستقلة عن تحكم الدولة المتظاهرين بالانفصال,0,0
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر,1,1
رحمها الله ورزقكم الصبر واسكنها الفردوس الاعلى من الجنة,1,0
طبعا بسبب التهرب الضريبي,0,0
يا راجل اتق الله عيب عيب,-1,0
اذكرهم لنا حتى نبحث عن قضاياهم وقصصهم,0,0
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش,-1,1
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,-1,1
عاجل اضطراب حركة الترامواي بين الرباط وسلا بسبب مسيرات التلاميذ,0,1
تلاميذ المغرب يواصلون الاحتجاج على على أمل أن تعلق بنصف كلمة تتفهم مطالب مستقبل المغرب,0,0
سبحان الله,0,0
علاش جمهور الوداد كاعي على تهراس بعض الكراسي في طنجة وساكت على تهراس بعض الكراسي في فاس,0,1
لا تكسر قلب يتيم حتى لا يكسر الله قلبك,0,0
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,1,1
الشعب مقهور والتعليم رجع اللور,-1,1
من نتائج انتصار العثماني إعلاميا على الدارجة حسمه دعم كل برلمان البيجيدي حتى قبل انعقاده,0,0
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,-1,1
خويا غير سجلت ملاحظة بروح رياضية وصافي,0,1
عيد مبارك سعيد وكل عام وأنتم بخير تقبل الله منكم ورزقا سعادة وفرحا وحبورا,1,0
قلب الأم باختصار الله يسمح لينا من الوالدين,1,0
كانوا الناس باغيين روسيا تتأهل هي مابقات كورة,0,1
