tweets,type,class_name
الله ابارك فيك,2,0
بالتوفيق,2,0
أنا اعادى الأفعال السيئة,0,0
لا حول و لا قوة الا بالله الله يرحمو ولكن زاد كمل على بنتو و حرمها من أب,0,1
فطومتي الغالية راني ضاحكة و صافي,2,1
كل التوفيق لرجاء الشعب اليوم في نهائي الكنفدرالية,2,0
اتفق معك تقريبا اغلبنا يسيء استخدام مواقع التواصل الاجتماعي توجد تحزبات وشخص بالف حساب يصنف الناس كما يحب ومجموعات تهاجم ناس وتتهمهم بتهم ليست فيهم هذا من غير الذباب الالكتروني والمؤامرات كثيرا ما افكر بالانسحاب من هذا الفضاء الافتراضي,1,0
مساء الخير,2,0
راه تقرير عليه ماشي تم إختياره لشخصية السنة,1,1
غايجي واحد الوقت و غادي نحقق فيه كاع داكشي لي كانتمناه حيت حتى حاجة ما مستحيلة,2,1
اليوم الأول لي في العمل الجديد,1,0
حمدلله غير على اعتراف ديالك,2,0
اجزم انهن دائما على صواب و انا من هذا المنبر أضم صوتي لصوتهن,2,0
اودي ماتخليو حد يجمع الحسنات,2,1
الإرهابي مهاجم مسجدي نيوزيلندا نقل الاعتداء عبر فيسبوك لايف ونشر بيانا على تويتر,0,0
ان الله مع الصابرين,2,0
و نعم بالله العلي القدير غاليتي,2,0
غاديين بتيسير الله,2,1
هناك ما يسمى بانجذاب الارواح تقدر الواحد ما تعرفو و لكن تشوفو ترتاح ليه قبل ما تتبادل معاه الحديث وهناك العكس سبحان الله,2,1
مصاب راه قاليك حول العالم و حظوظي شبه منعدمة,0,0
فيكم و البركة اخوان و احباب غاليين أعتز وأتشرف بكم,2,0
جزاكم الله خير,2,0
المغردون العرب يتابعون عن قرب أحداث فنزويلا,1,0
انا متفق مع الفكرة فكروا في هاشتاغ مناسب لها مثل فضح المتحرش ويجب نشر كل الرسائل مثل تلك فيه وهكذا,1,1
تسليط الضوء على الإمكانيات الموجودة فيه,1,0
جميل جدا كل ماقلته ارجو لك السعادة صديقي حسن فخر لي ان تكون صديقي,2,0
گوني قويه فالحيآه لآ تحترم الا المرأه القوية التي لا تكسرهآا التجارب الفاشله وانماا تبنيهاا,2,0
الاسبوع المقبل,1,0
قلبك للي غزال حبيبة ربي ينورك يا غالية,2,1
اقبل بالمكان الذي أنت به تذكر أين كنت ولكن الأكثر أهمية أن تعلم المكان الذي تريد الذهاب إليه أتمنى لك بداية جميلة ويوم رائع,2,0
نجاح استئصال دودة من عين طفل في ورزازات,1,0
الفيديو يفضح كذب قناة الجزيرة ويكشف تمثيل الاخوان دور الموتى,0,0
كلام جميل,2,0
ثمن سنين مشات من حياتك بلى ماديري فيها شي حاجة,0,1
حروفك رائعة,2,0
اللهم ارحمه واغفرله واجعله في عليين مع الشهداء والصديقين وارحم موتانا وموتى المسلمين,2,0
الى كانت الصور من واقع فهي جميلة ما شاء الله,2,0
اسخف موضوع يتم تداوله على مواقع التواصل الاجتماعي,0,0
لاخير في امريء متملق أينما مالت الريح يميل,0,0
ان شاء الله ونوقف امام الله نحاسب كل واحد من العسكر الجزائري على كل المكائد التي كادها لبلدي على مدار سنوات,0,0
إنا لله وإنا إليه راجعون اللهم أرحم والدنا العزيز محمدو ولد الليله برحمتك الواسعة وتجاوز عنه وأسكنه فسيح جناتك,2,0
غير قالو ليهم زيدو لينا في الشهرية مبغاوش,1,1
سهيلة منذ نعومة اظافرها وهي فنانة,2,0
الصيف هنا مكاين غي الإحتفالات,2,1
راجع التاريخ يا ابني و راجع امورك كفاك جهلا بالقضايا,0,0
شكرا بزاف لأعز الناس لي سولو فيا صراحة مريض بزاف ولاكن كين تحسن الحمد لله كنبغيكم بزاف,2,1
المشكلة هي أن المراة تتهم المراة وتظهر الرجل كضحية,1,0
لأننا نتحمل يعتقدون أننا لا نشعر,0,0
يا رب امين,1,0
تحفيظ القرآن الكريم بأحد الكتاتيب,1,0
فهموني الا فهمتوا شي حاجة,1,1
زادكم الله من بركاته وأغدق عليكم من خيراته ومنحكم عفوه ومرضاته وأدام عليكم نعمه ومسراته وكفاكم شر الزمان وعثراته,2,0
كذبة ابريل,0,0
الله يستر وصافي راه حتى انا خايف من هادا الشي حيت ديما فمراكش كتكون الاستفزازات وتبدا المشاكل,0,1
وبعض الكلمات خلقت لتقال مره واحده لشخص واحد ثم لا يكون لها معنى بعدها,2,0
بارك الله فيك,2,0
يستغلون الجهل والفقر,0,0
اعلام العار,0,0
اللهم انك عفو تحب العغو فاعفو عنا,2,0
اقترب من الله يقترب منك كل شيء جميل,2,0
الغالب الله ماعندي ماندير ليك اودي امارادونا مرضتونا,0,1
اذا كنت لا تستطيع القيام بأشياء عظيمة إعمل أشياء صغيرة بمحبة عظيمة,2,0
و انت الى جهنم و بئس المصير,0,0
تستحق الوصول لهذا,2,0
مستعدة على بركة الله,2,0
حان وقت غلق حسابك على الفيسبوك,1,0
اه فهمت تماما الوقت مضمد الجروح الخفيفة ان صح التعبير,2,0
الصينيون يعبدون الرئيس و الحزب الشيوعي آسيا الشرقية مختلفة عن العالم ككل,1,0
في وجودك لو يغيب الكل ما أفقد أحد,2,0
سمعت هاد الموسيقى ودازو ليا الدموع وأنا عرف علاش بكيت ولكن ما نقدرش نعبر,1,1
البؤس في اوضح صوره,0,0
انا بخير كل ما اخوات مثلك يسالو عليا الله يجعل لقلوب صافية,2,1
فعلا هادي ماجات الواحد يبعد و يرتاح احسن,1,1
ربي يعزك و ينورك و ينصرك خويا لعزيز,2,1
عزائنا لأهالي ضحايا فاجعة القطار رحم الله الموتى والهم ذويهم الصبر والمصابون نسأل الله لهم الشفاء,2,0
